Quarters,Agriculture_forestry_fishing,mining,manufacturing,electricity,construction,trade_services,financial_realestate,publicadministration_defence,GVA_basic_price,GFCE,PFCE,GFCF,CIS,valuables,Exports,Imports,discrepencies,GDP__,,,
  2011-12 - Q1,323221.72,64670.25,350857.05,44661.97,182218.75,330069.72,395102,225668.84,1916470.3,195528.21,1196397.95,682095.08,51753.98,55260.05,493074.88,626234.56,-4379.31,2043496.29,,,
  2011-12 - Q2,270231.38,55462.63,329936.53,46631.13,189095.78,337631.45,407657.04,263656.97,1900302.91,255853.45,1119458.93,722663.54,48668.05,65317.85,503937.31,636896.39,-49533.58,2029469.17,,,
  2011-12 - Q3,505545.34,65815.18,334726.67,47957.24,197079.15,351579.17,343064.87,245398.66,2091166.28,223407.77,1281386,756940.13,49374.63,62021.09,557993.27,719821.61,33550.95,2244852.23,,,
  2011-12 - Q4,402948.88,75087.31,394465.31,47417.66,208940.87,393835.72,385053.47,291257.28,2199006.5,293585.57,1313205.35,836034.07,58186.52,70434.35,588925.54,732601.44,-9259.84,2418511.13,,,
  2012-13 - Q1,360094.46,75789.47,374606.43,54330.44,203182.41,394347.31,461069.59,263981.77,2187401.88,240744.76,1288286.6,795727.47,51093.8,68569.52,555655.03,715867.44,28993.36,2313203.09,,,
  2012-13 - Q2,302960.79,59898.66,395938.88,52470.72,202601.56,403845.64,479903.82,304586.74,2202206.81,310869.57,1323175.23,809693.25,54003.4,67458.29,694342.2,803996.69,-98591.98,2356953.27,,,
  2012-13 - Q3,557596.77,70446.72,377768.42,54453.3,211962.69,412552.38,400489.21,271594.08,2356863.56,209686.92,1508200.85,815439.44,51525.07,69905.86,566043.39,798750.14,126326.42,2548377.83,,,
  2012-13 - Q4,454454.48,79707.16,424523.17,54095.19,231618.24,453240.38,435169.44,323411.79,2456219.86,301102.82,1494822.17,904112.97,57902.11,67840.86,623666.38,789813.73,65845.35,2725478.91,,,
  2013-14 - Q1,407712.55,70645.48,413130.91,62946.29,221810,427469.74,533978.44,303684.09,2441377.22,308484.91,1480173.31,847937.64,34869.69,38189.87,616226.48,768364.73,7857.26,2565374.45,,,
  2013-14 - Q2,350835.2,63145.1,424394.52,65066.08,224408.15,456945.9,585665.61,341392.02,2511852.34,331309.47,1515620.76,855856.49,35820.38,40720.42,747412.79,827689.81,-12847.27,2686203.23,,,
  2013-14 - Q3,670113.18,74589.2,416194.28,64910.78,231689.92,480885.7,459327.06,308435.35,2706145.18,237025.21,1752700.85,875621.31,35128.25,35542.02,726997.88,783768.99,41823.51,2921070.04,,,
  2013-14 - Q4,497710.94,87414.56,459731.89,67231.45,243561.91,509165.27,490537.11,348423.93,2703777.87,279689.45,1727154.21,936205.58,38802.98,47309.12,766144.14,811987.37,77556.03,3060874.14,,,5085410
  2014-15 - Q1,460964.43,95040.28,471159.16,69661.88,247541.16,508205.44,620774.1,334552.21,2807898.65,337037.4,1715731.09,928905.51,78435.26,53194.5,706895.73,800616.57,-105189.69,2914393.22,,,
  2014-15 - Q2,404350,68894.15,476473.81,71640.89,246390.44,517595.34,695118.25,390144.49,2870607.38,384486.82,1758329.1,944023.91,79320.01,48591.68,727107.86,840838.81,-47038.53,3053982.03,,,
  2014-15 - Q3,688922.91,72719.59,435194.66,70690.7,242325.39,514665.79,520846.57,394998.01,2940363.62,313546.64,1854293.23,909481.16,72448.14,45802.18,732620.04,836454.26,93179.93,3184917.06,,,
  2014-15 - Q4,539374.22,71822.03,495541.52,70264.31,242828.89,567129.93,526607.77,371841.17,2885409.84,266690.92,1918984.2,967981.12,82494.26,61818.31,697012.65,758052.29,77737.63,3314666.8,,,
  2015-16 - Q1,499370.09,90269.16,530751.51,83639.89,253252.44,553747.77,690657.28,371179.19,3072867.32,363606.11,1914897.62,961034.5,64910.5,46212.18,671293.85,757977.55,-20433.86,3243543.36,,,
  2015-16 - Q2,424241.24,61138.12,534068.63,87112,237074.17,541865.62,773346.79,433095.75,3091942.32,425666.7,1930421.54,960324.29,65316.18,52176.6,687100.61,795276.83,30155.32,3355884.42,,,
  2015-16 - Q3,721066.22,68977.19,506026.74,81633.54,248149.31,558605.4,577563.71,442647.76,3204669.86,349864.71,2096440.75,991937.89,61886.68,51419.27,677377.36,758572.01,6277.83,3476632.47,,,
  2015-16 - Q4,582855.32,73626.69,575341.92,82579.18,252607.78,640294.06,584570.05,413144.14,3205019.14,297033.52,2184647.23,1043795.69,70363.87,53697.91,692875.61,733097.02,86496.81,3695813.63,,,
  2016-17 - Q1,573091.66,81934.46,575996.96,88421.81,273537.97,607115.5,783003.33,417100.78,3400202.48,389045.8,2120871.25,1085914.6,34081,38439.01,704794.9,760291.95,26920.01,3639774.61,,,
  2016-17 - Q2,485561.87,60517.91,575851.61,89213.46,262498.38,594623.85,874052.53,484122.26,3426441.86,455122.41,2199049.17,1045064.37,34072.4,44547.28,720886.17,800974.23,56349.46,3754117.03,,,
  2016-17 - Q3,801318.3,76935.01,554949.63,88828.72,274360.34,619241.88,619110.18,503381.06,3538125.12,384784.46,2409747.88,1070569.85,32835.65,43233.47,743329.32,847859.57,38365.64,3875006.7,,,
  2016-17 - Q4,658690.2,107420.53,626923.16,89245,270473.4,718174.62,635270.6,494233.21,3600430.72,357704.93,2396862.94,1137122.41,37094.24,41106.56,779761.72,811465.68,184583.56,4122770.68,,,
  2017-18 - Q1,620726.62,82157.28,588489.12,107019.58,288042.91,691827.34,844181.8,485075.67,3707520.33,484811.32,2358855.32,1125164.61,54473.8,81416.4,758515.48,912523.48,58202.52,4008915.96,,,
  2017-18 - Q2,551157.19,67314.83,638557.61,107508.11,281258.11,675948.07,914863.48,537192.8,3773800.2,504289.78,2376307.14,1141094.83,59108.41,58760.82,784764.95,877554.84,110475.25,4157246.35,,,
  2017-18 - Q3,914936.58,82691.56,625337.68,104036.49,306395.07,709164.09,682492.42,566514.78,3991568.68,444759.27,2620783.8,1209889.21,57884.7,54465.49,817204.81,970030.15,104236.39,4339193.52,,,
  2017-18 - Q4,743005.46,103945.46,714238.95,107153.55,324717.75,801982.69,685674,552058.14,4032776.01,406258.5,2680204.68,1339453.13,66113.89,47042.67,851035.33,991280.95,185858.75,4584686,,,
  2018-19 - Q1,686739.32,94249.68,676170.09,112151.65,326661.9,778777.24,946708.53,552771.23,4174229.65,544125.12,2640304.41,1336612.38,76507.04,53629.72,870373.84,1057121.6,104938.19,4569369.11,,,
  2018-19 - Q2,591790.48,79982.98,704495.01,116805.34,316330.19,757308.97,1036517.09,607708.53,4210938.59,570239.83,2705685.29,1344943.35,79711.94,59785.41,924644.95,1139191.24,110197.49,4656017.01,,,
  2018-19 - Q3,957922.19,95524.7,685106.84,112012.81,347401.5,791377.36,769435.2,630757.55,4389538.16,476809.83,2925858.42,1422243.12,77518.21,59676.86,983151.75,1188199.69,115939.84,4872998.34,,,
  2018-19 - Q4,793473.05,107903.72,746787.01,108489.13,361725.24,875298.66,776837.36,629907.72,4400421.9,454377.64,2933446.29,1464623.55,84497.18,53012.35,988122.99,1092656.53,-84139.48,4801283.99,,,
  2019-20 - Q1,736647.29,94643.24,677967.12,129482.22,350517.66,852337.5,1064892.14,640601.63,4547088.8,546982,2919710.05,1501041.4,33705.77,48178.84,930664.81,1117374.84,79547.1,4942455.14,,,
  2019-20 - Q2,640470.64,72395.94,671108.18,126976.77,317819.87,819648.25,1145687.31,676067.95,4470174.9,616670.21,2949713.88,1359901.26,33364.78,53685.36,927287.42,1060389.14,-18581.39,4861652.38,,,
  2019-20 - Q3,1085522.02,85975.06,649321.57,118638.27,335097.92,860063.42,828768.87,695381,4658768.14,521296.95,3233962.97,1399131.19,32281.63,49797.9,963769.84,1066233.96,-3594.91,5130411.6,,,
  2019-20 - Q4,895723.78,105503.02,706412.54,126520.26,369323.8,946443.52,839989.34,689161.35,4679077.61,515922.29,3133721.74,1477571.2,35119.97,43046.35,930465.76,1026234.09,30723.46,5140336.68,,,
  2020-21 - Q1,782412.53,65417.61,453728.48,115605.32,170899.25,425389.3,1038123.21,605213.01,3656788.72,648496.1,2295742.91,800026.81,-1970.02,4459.4,748963.05,671809.95,49535.09,3873443.4,,,
  2020-21 - Q2,695179.79,64524.9,698446.43,123752.25,293689.79,676119.14,1089446.11,637464.05,4278622.46,500590.13,2825020.52,1290479.78,-3032.55,69016.15,928387.21,877558.08,-11084.28,4721818.87,,,
  2020-21 - Q3,1180832.63,78868.31,710550.28,129362,370557.53,795717.17,946718.57,704590.74,4917197.24,546641.56,3424584.61,1433253.37,-3085.1,66399.39,958567.45,1036806.31,58987.3,5448542.27,,,
  2020-21 - Q4,951069.29,116168.93,846710.14,138632.69,480461.38,969167.57,971471.72,731519.66,5205201.37,697562.15,3487411.82,1740313.42,-3676.29,131539.29,1068615.21,1195098.24,-169557.92,5757109.45,,,
  2021-22 - Q1,847041.93,109284.78,749345.56,128982.35,345254.3,625257.8,1145774.08,672313.62,4623254.42,660771.66,2846870.58,1443836.66,49431.16,31868.95,1128349.43,1158548.82,124209.63,5126789.26,,,
  2021-22 - Q2,743042.75,100276.83,824612.12,138571.56,380175.64,812124.19,1243936.13,800617.71,5043356.93,580557.3,3345447.06,1650441.23,54396.18,190816.88,1225739.2,1358478.77,-68753.07,5620166.01,,,
  2021-22 - Q3,1294054.48,129419.61,800156.87,150910.77,431680.23,948462.64,1065701.92,865762.9,5686149.44,603011.4,3985298.1,1647884.94,52782.97,106141.64,1312634.89,1548120.31,142812.9,6302446.53,,,
  2021-22 - Q4,1095928.05,174094.44,933200.41,168214.43,561987.51,1143051.16,1087891.03,832271.34,5996638.38,789526.88,3917788.81,2017627.3,61559.29,72858.81,1397161.93,1588743.64,-52544.19,6615235.2,,,
  2022-23 - Q1,994817.55,174255.15,866133.72,174750.49,458046.37,909298.34,1383177.61,890175.56,5850654.78,731660.74,3971441.49,1896948.1,48391.66,49797.48,1463323.34,1807100.72,140274.25,6494736.35,,,
